,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_min_samples_split,param_splitter,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,1.1694534301757813,0.03824832457743338,0.02347574234008789,0.00046171235177367814,gini,,2,best,"{'criterion': 'gini', 'max_depth': None, 'min_samples_split': 2, 'splitter': 'best'}",0.8104643933234491,0.8942255684645507,0.8892738809363969,0.8930534516338455,0.8898209807143476,0.875367655014518,0.0325057638675488,3
1,0.36946945190429686,0.016346734932720233,0.026742839813232423,0.0005126063900919432,gini,,2,random,"{'criterion': 'gini', 'max_depth': None, 'min_samples_split': 2, 'splitter': 'random'}",0.8030600885815116,0.8796818604249066,0.8708696973644219,0.8850813430252682,0.882593016476279,0.8642572011744776,0.03097282297490384,8
2,1.180463981628418,0.07645020807373223,0.02397632598876953,0.0015849244056772831,gini,,3,best,"{'criterion': 'gini', 'max_depth': None, 'min_samples_split': 3, 'splitter': 'best'}",0.80641047236326,0.8938085814322685,0.8901273538695983,0.8932999237389694,0.8901887448899714,0.8747670152588135,0.03421238560158598,4
3,0.4047281265258789,0.02441278912270727,0.028423786163330078,0.002337827758920866,gini,,3,random,"{'criterion': 'gini', 'max_depth': None, 'min_samples_split': 3, 'splitter': 'random'}",0.8016693449739763,0.880679946412492,0.8656604439736969,0.8734826955698015,0.8757865094381132,0.859455788073616,0.029297379583612497,12
4,1.1471858978271485,0.05510820599605543,0.02392721176147461,0.0007836304631213849,gini,,4,best,"{'criterion': 'gini', 'max_depth': None, 'min_samples_split': 4, 'splitter': 'best'}",0.8046154588905517,0.8934808169664243,0.8889855955437573,0.8913469494404042,0.8889227421109902,0.8734703125904255,0.034468788466346975,6
5,0.36686458587646487,0.013755966917473862,0.02651834487915039,0.0007176407151835687,gini,,4,random,"{'criterion': 'gini', 'max_depth': None, 'min_samples_split': 4, 'splitter': 'random'}",0.7996441109988939,0.8817157045859061,0.8619729514717581,0.8815372424722663,0.8783378866660791,0.8606415792389808,0.03135720166524366,11
6,0.7969619750976562,0.014998926304908301,0.019039678573608398,0.000742768468389276,gini,10,2,best,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 2, 'splitter': 'best'}",0.7905920281359905,0.86824430921794,0.8638527596182319,0.8680020075740293,0.8630886169818316,0.8507559443056045,0.030154892807310374,15
7,0.18454976081848146,0.0035630699031898995,0.019218254089355468,8.995434095484643e-05,gini,10,2,random,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 2, 'splitter': 'random'}",0.6703577283844437,0.7471597237692137,0.6507060788581263,0.730224028548771,0.739733546230228,0.7076362211581565,0.039327551929723314,33
8,0.8462371826171875,0.0448575293924062,0.01908712387084961,0.0007560494174561653,gini,10,3,best,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 3, 'splitter': 'best'}",0.7905920281359905,0.8682051744343281,0.863930393586006,0.8680157879126646,0.8632886746094293,0.8508064117356836,0.030175146562005154,14
9,0.1877206802368164,0.004848762573110334,0.019965171813964844,0.0007635021369935129,gini,10,3,random,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 3, 'splitter': 'random'}",0.6700185518780416,0.7448748275182336,0.6507085020242915,0.7296128807831834,0.7395633187772926,0.7069556161962086,0.03883958049870799,34
10,0.791974687576294,0.022146327529937043,0.018843841552734376,0.0007999992856048714,gini,10,4,best,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 4, 'splitter': 'best'}",0.7906397322846186,0.8682834475297513,0.8639832342422378,0.8680313091896579,0.8631486245335929,0.8508172695559717,0.030160011496254645,13
11,0.18176894187927245,0.002718187099429054,0.019252586364746093,0.0006560994851799872,gini,10,4,random,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 4, 'splitter': 'random'}",0.6939775400810109,0.7551306314056087,0.6514791403286979,0.7364458996107144,0.7342881466272723,0.7142642716106609,0.03719291260590699,32
12,0.6230648994445801,0.019366306473928542,0.017869234085083008,0.0007913842516687847,gini,7,2,best,"{'criterion': 'gini', 'max_depth': 7, 'min_samples_split': 2, 'splitter': 'best'}",0.7770172563385713,0.8377506337865868,0.8375436527733684,0.8393580660494806,0.8378928329188335,0.8259124883733682,0.024456007860374104,19
13,0.1320500373840332,0.006071545131539854,0.018238258361816407,0.0005856029432683215,gini,7,2,random,"{'criterion': 'gini', 'max_depth': 7, 'min_samples_split': 2, 'splitter': 'random'}",0.6294190099321261,0.6893824458427638,0.6105246017314843,0.6651448282859027,0.6654986796668698,0.6519939130918294,0.02822253606367423,37
14,0.7289738178253173,0.07261535881946588,0.018953561782836914,0.0011613298064289208,gini,7,3,best,"{'criterion': 'gini', 'max_depth': 7, 'min_samples_split': 3, 'splitter': 'best'}",0.7770172563385713,0.8377506337865868,0.8375436527733684,0.8393580660494806,0.8378928329188335,0.8259124883733682,0.024456007860374104,19
15,0.1344400405883789,0.005272376375804663,0.01862368583679199,0.00048732311056372117,gini,7,3,random,"{'criterion': 'gini', 'max_depth': 7, 'min_samples_split': 3, 'splitter': 'random'}",0.6294190099321261,0.6893824458427638,0.6105246017314843,0.6649238578680203,0.6654986796668698,0.6519497190082528,0.02820207384294809,39
16,0.6366976737976074,0.012905803567782934,0.017816591262817382,0.000474817299059314,gini,7,4,best,"{'criterion': 'gini', 'max_depth': 7, 'min_samples_split': 4, 'splitter': 'best'}",0.7770172563385713,0.8377506337865868,0.8375436527733684,0.8393580660494806,0.8378928329188335,0.8259124883733682,0.024456007860374104,19
17,0.13359785079956055,0.0044219528946790885,0.018625211715698243,0.0004788847685514923,gini,7,4,random,"{'criterion': 'gini', 'max_depth': 7, 'min_samples_split': 4, 'splitter': 'random'}",0.6294190099321261,0.6893824458427638,0.6105291723202171,0.6649238578680203,0.6654986796668698,0.6519506331259994,0.02820073115214975,38
18,0.496945858001709,0.004814971747642388,0.01779966354370117,0.0005013611415704853,gini,5,2,best,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 2, 'splitter': 'best'}",0.7746078961600865,0.8113563029213677,0.8066861097810474,0.8069361124490958,0.807460206401959,0.8014093255427113,0.013507493923764479,25
19,0.09696722030639648,0.0012325594348312928,0.01824502944946289,0.0006269262194535233,gini,5,2,random,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 2, 'splitter': 'random'}",0.556449697897153,0.629068981910076,0.604392002622091,0.6562294076211684,0.6332842415316643,0.6158848663164306,0.0339672381446633,43
20,0.4965310573577881,0.001548074342154832,0.017605686187744142,0.000454835931815825,gini,5,3,best,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 3, 'splitter': 'best'}",0.7746078961600865,0.8113563029213677,0.8066861097810474,0.8069361124490958,0.807460206401959,0.8014093255427113,0.013507493923764479,25
21,0.09495229721069336,0.0017146068033277843,0.017838191986083985,0.0004958036976816052,gini,5,3,random,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 3, 'splitter': 'random'}",0.556449697897153,0.629068981910076,0.604392002622091,0.6562294076211684,0.6332842415316643,0.6158848663164306,0.0339672381446633,43
22,0.495130729675293,0.004247515166258896,0.017985820770263672,0.0008018574665478803,gini,5,4,best,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 4, 'splitter': 'best'}",0.7746078961600865,0.8113563029213677,0.8066861097810474,0.8069361124490958,0.807460206401959,0.8014093255427113,0.013507493923764479,25
23,0.11077070236206055,0.006202366953969587,0.02122330665588379,0.002687603023841613,gini,5,4,random,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 4, 'splitter': 'random'}",0.556449697897153,0.629068981910076,0.604392002622091,0.6562294076211684,0.6332842415316643,0.6158848663164306,0.0339672381446633,43
24,1.596102809906006,0.01885231832479477,0.02482128143310547,0.0028678666120497743,entropy,,2,best,"{'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 2, 'splitter': 'best'}",0.8082988346215512,0.8951672219097477,0.8912802933327548,0.8937118622062579,0.8925061690982294,0.8761928762337083,0.0339714445632734,1
25,0.39758992195129395,0.01360996492117962,0.027605485916137696,0.0007514451253385183,entropy,,2,random,"{'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 2, 'splitter': 'random'}",0.809364705882353,0.8828255267545854,0.8702772963604852,0.8833236012889552,0.8853785731287732,0.8662339406830304,0.028928576776008484,7
26,1.630961275100708,0.11805945790338164,0.023655271530151366,0.0007690354471747105,entropy,,3,best,"{'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 3, 'splitter': 'best'}",0.8045905110191511,0.8953382282660644,0.8911472841225626,0.894794067759753,0.8932950691364466,0.8758330320607955,0.03565086089618333,2
27,0.39991135597229005,0.018503140196048967,0.02731461524963379,0.0006397978877876072,entropy,,3,random,"{'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 3, 'splitter': 'random'}",0.7987291195301592,0.8859616438356164,0.8625971045197739,0.8801963491333027,0.8839340524423397,0.8622836538922384,0.03283147485329523,9
28,1.5850101470947267,0.05520518157211078,0.024033164978027342,0.0007812921557610674,entropy,,4,best,"{'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 4, 'splitter': 'best'}",0.803990553761627,0.8942138337428516,0.8900161100709715,0.8926305726948813,0.8917748917748918,0.8745251924090447,0.03529335149913803,5
29,0.4003918647766113,0.002667065337786688,0.027946281433105468,0.0010209021129354923,entropy,,4,random,"{'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 4, 'splitter': 'random'}",0.802130569351472,0.8780851998243303,0.8630606335241716,0.8846018477782667,0.8792459463022367,0.8614248393560955,0.030498588364251306,10
30,1.1111589431762696,0.08229532071201213,0.021238088607788086,0.0035740301724843594,entropy,10,2,best,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_split': 2, 'splitter': 'best'}",0.786613371732168,0.8631997804610317,0.8617475187830442,0.8682006442705938,0.8620050078827785,0.8483532646259233,0.03095780361753986,17
31,0.18951773643493652,0.004133031187149562,0.01982536315917969,0.00048593320234865495,entropy,10,2,random,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_split': 2, 'splitter': 'random'}",0.6893510103710039,0.7485279799712551,0.6575800693976385,0.7634340066679741,0.7454357213201687,0.720865757545608,0.0404455068372107,31
32,1.0567533493041992,0.008236142031470503,0.01859593391418457,0.0007161160540276312,entropy,10,3,best,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_split': 3, 'splitter': 'best'}",0.7866329013357168,0.8632850020582719,0.8617610908837922,0.8681945786736619,0.8620313912781397,0.8483809928459165,0.030960926601020847,16
33,0.1929844856262207,0.0038656036936925396,0.019440698623657226,0.0004054178603469606,entropy,10,3,random,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_split': 3, 'splitter': 'random'}",0.6894856379425517,0.7313521251912919,0.659686385959664,0.7037366083093808,0.7385509931048677,0.7045623501015512,0.028687144017006616,35
34,1.1099664211273192,0.08595708707730311,0.01922268867492676,0.0006309929991387261,entropy,10,4,best,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_split': 4, 'splitter': 'best'}",0.786613371732168,0.8632850020582719,0.8617411066277074,0.8681885125184093,0.8619250741839762,0.8483506134241067,0.030956861950907678,18
35,0.1881342887878418,0.006665407973724505,0.01883072853088379,0.00047528360490614775,entropy,10,4,random,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_split': 4, 'splitter': 'random'}",0.6672266701666886,0.7361499653300815,0.6562445283773982,0.7224098272402487,0.7305484366991286,0.7025158855627092,0.03376155025919468,36
36,0.8292289733886719,0.007087755188009172,0.018023157119750978,0.0011568131824051691,entropy,7,2,best,"{'criterion': 'entropy', 'max_depth': 7, 'min_samples_split': 2, 'splitter': 'best'}",0.7753186754710591,0.8257357054940136,0.8347419528861716,0.8324998318046243,0.8336841162509515,0.8203960563813639,0.022756804624112097,22
37,0.13081979751586914,0.005645003720267058,0.018630838394165038,0.0004866973558743747,entropy,7,2,random,"{'criterion': 'entropy', 'max_depth': 7, 'min_samples_split': 2, 'splitter': 'random'}",0.6003306111371541,0.6908937563565103,0.610336029531513,0.6651112069184144,0.6522239357665663,0.6437791079420316,0.033918652765461396,41
38,0.8247063636779786,0.004470777525073983,0.017985725402832033,0.00078714816759492,entropy,7,3,best,"{'criterion': 'entropy', 'max_depth': 7, 'min_samples_split': 3, 'splitter': 'best'}",0.7753186754710591,0.8257357054940136,0.8347419528861716,0.8324998318046243,0.8336841162509515,0.8203960563813639,0.022756804624112097,22
39,0.1312021255493164,0.0046380832653161045,0.018606090545654298,0.0005142498211786107,entropy,7,3,random,"{'criterion': 'entropy', 'max_depth': 7, 'min_samples_split': 3, 'splitter': 'random'}",0.6003306111371541,0.6908937563565103,0.610336029531513,0.6649238578680203,0.6522239357665663,0.6437416381319528,0.033895161925799326,42
40,0.8745115756988525,0.0722094875894368,0.018418073654174805,0.00039138589453209467,entropy,7,4,best,"{'criterion': 'entropy', 'max_depth': 7, 'min_samples_split': 4, 'splitter': 'best'}",0.7753186754710591,0.8257357054940136,0.8347419528861716,0.8324998318046243,0.8336841162509515,0.8203960563813639,0.022756804624112097,22
41,0.12974209785461427,0.006122615174656947,0.018439435958862306,0.000396357521032521,entropy,7,4,random,"{'criterion': 'entropy', 'max_depth': 7, 'min_samples_split': 4, 'splitter': 'random'}",0.6003306111371541,0.6908937563565103,0.6133779806108395,0.6649238578680203,0.6522239357665663,0.6443500283478181,0.033312389072837935,40
42,0.6267987728118897,0.0067660849663729915,0.017464399337768555,0.00042944323504050626,entropy,5,2,best,"{'criterion': 'entropy', 'max_depth': 5, 'min_samples_split': 2, 'splitter': 'best'}",0.757123473541384,0.7895039020137368,0.7884981971015825,0.8042413012147416,0.8015215657402296,0.7881776879223348,0.01674708660033237,28
43,0.09554834365844726,0.001521369136305176,0.017632246017456055,0.000545485598819769,entropy,5,2,random,"{'criterion': 'entropy', 'max_depth': 5, 'min_samples_split': 2, 'splitter': 'random'}",0.5563616218640357,0.628569999499825,0.6021075029130148,0.6356899659523332,0.6365107421145659,0.6118479664687548,0.030430021026930314,46
44,0.6226338386535645,0.006895425759716823,0.017407941818237304,0.0003774098602337049,entropy,5,3,best,"{'criterion': 'entropy', 'max_depth': 5, 'min_samples_split': 3, 'splitter': 'best'}",0.757123473541384,0.7895039020137368,0.7884981971015825,0.8042413012147416,0.8015215657402296,0.7881776879223348,0.01674708660033237,28
45,0.09577689170837403,0.0031462221460997887,0.01759819984436035,0.0005321566220728007,entropy,5,3,random,"{'criterion': 'entropy', 'max_depth': 5, 'min_samples_split': 3, 'splitter': 'random'}",0.5563616218640357,0.628569999499825,0.6021075029130148,0.6356899659523332,0.6365107421145659,0.6118479664687548,0.030430021026930314,46
46,0.637734842300415,0.008114179488159323,0.017842674255371095,0.0007934471534380084,entropy,5,4,best,"{'criterion': 'entropy', 'max_depth': 5, 'min_samples_split': 4, 'splitter': 'best'}",0.757123473541384,0.7895039020137368,0.7884981971015825,0.8042413012147416,0.8015215657402296,0.7881776879223348,0.01674708660033237,28
47,0.0952150821685791,0.0012581290994382632,0.017595338821411132,0.000496861010264036,entropy,5,4,random,"{'criterion': 'entropy', 'max_depth': 5, 'min_samples_split': 4, 'splitter': 'random'}",0.5563616218640357,0.628569999499825,0.6021075029130148,0.6356899659523332,0.6365107421145659,0.6118479664687548,0.030430021026930314,46
